train_loss,epoch,step
0.6038486957550049,0,49
0.5424497723579407,0,99
0.3990739583969116,0,149
0.26486462354660034,0,199
0.298565149307251,0,249
0.32995903491973877,0,299
0.2583731710910797,0,349
0.353043794631958,0,399
0.20465493202209473,0,449
0.3762168288230896,0,499
0.5083063244819641,0,549
0.25945204496383667,0,599
0.3448325991630554,0,649
0.17645731568336487,0,699
0.23524761199951172,0,749
0.18576914072036743,0,799
0.23573008179664612,0,849
0.21439909934997559,0,899
0.14840564131736755,0,949
0.27663201093673706,0,999
0.2892862856388092,0,1049
0.10207846015691757,0,1099
0.3120495676994324,0,1149
0.16008666157722473,0,1199
0.2659803628921509,0,1249
0.28557178378105164,0,1299
0.3786351978778839,0,1349
0.18728448450565338,0,1399
0.1574566811323166,0,1449
0.5089439153671265,0,1499
0.23194818198680878,0,1549
0.46089571714401245,0,1599
0.42365211248397827,0,1649
0.12583772838115692,0,1699
0.22034689784049988,0,1749
0.11750082671642303,0,1799
0.19579985737800598,0,1849
0.3155604600906372,0,1899
